省,市,区（县）,小区名称,房屋面积,房屋类型（室）,房屋类型（厅）,房屋类型（卫）,总层数,楼层部位,房屋朝向,房屋建设年代,总价,单价
江苏省,苏州市,工业园区,阿卡迪亚·湖境,208,4,2,2,4,低,南北,2012,650,31250
江苏省,苏州市,工业园区,阿卡迪亚·湖境,136,4,2,2,4,低,南,2014,440,32353
江苏省,苏州市,工业园区,阿卡迪亚·湖境,78,2,2,1,16,低,南,2012,185,23718
江苏省,苏州市,工业园区,阿卡迪亚·湖境,78,2,2,1,16,低,南,2012,185,23718
江苏省,苏州市,工业园区,阿卡迪亚·花境,185,4,2,2,6,高,南北,2013,520,27999
江苏省,苏州市,工业园区,阿卡迪亚·花境,185,4,2,2,6,高,南北,2013,520,27999
江苏省,苏州市,工业园区,阿卡迪亚·花境,185,4,2,2,6,高,南北,2013,520,27999
江苏省,苏州市,工业园区,阿卡迪亚·花境,185,4,2,2,6,高,南北,2013,520,27999
江苏省,苏州市,工业园区,阿卡迪亚·花境,88,2,2,1,18,低,南,2013,178,20227
江苏省,苏州市,工业园区,阿卡迪亚·花境,88,2,2,1,18,低,南,2013,178,20227
江苏省,苏州市,工业园区,阿卡迪亚·花境,88,2,2,1,18,低,南,2013,178,20227
江苏省,苏州市,工业园区,阿卡迪亚·花境,88,2,2,1,18,低,南,2013,178,20227
江苏省,苏州市,工业园区,阿卡迪亚二区,133,3,2,3,0,低,,2013,480,36090
江苏省,苏州市,工业园区,阿卡迪亚二区,136,4,2,2,0,低,,2013,450,33088
江苏省,苏州市,工业园区,阿卡迪亚二区,136,4,2,2,0,低,,2013,450,33088
江苏省,苏州市,工业园区,阿卡迪亚二区,136,4,2,2,0,低,,2013,450,33088
江苏省,苏州市,工业园区,阿卡迪亚二区,136,4,2,2,0,低,,2013,450,33088
江苏省,苏州市,工业园区,阿卡迪亚二区,133,3,2,3,0,低,,2013,480,36090
江苏省,苏州市,工业园区,阿卡迪亚二区,133,3,2,3,0,低,,2013,480,36090
江苏省,苏州市,工业园区,阿卡迪亚二区,133,3,2,3,0,低,,2013,480,36090
江苏省,苏州市,工业园区,阿卡迪亚二区,136,4,2,2,0,低,,2013,450,33088
江苏省,苏州市,工业园区,阿卡迪亚二区,136,4,2,2,0,低,,2013,450,33088
江苏省,苏州市,工业园区,阿卡迪亚二区,137,4,2,2,6,低,南北,2013,455,33212
江苏省,苏州市,工业园区,阿卡迪亚二区,135,4,2,3,5,低,南北,2013,450,33333
江苏省,苏州市,工业园区,阿卡迪亚二区,135,4,2,2,1,低,南北,2013,425,31481
江苏省,苏州市,工业园区,阿卡迪亚二区,137,4,2,2,6,低,南北,2013,455,33212
江苏省,苏州市,工业园区,阿卡迪亚二区,135,4,2,3,5,低,南北,2013,450,33333
江苏省,苏州市,工业园区,阿卡迪亚二区,133,3,2,,5,低,南北,2014,498,37443
江苏省,苏州市,工业园区,阿卡迪亚二区,137,4,2,2,6,低,南北,2013,455,33212
江苏省,苏州市,工业园区,阿卡迪亚二区,137,4,2,2,6,低,南北,2013,455,33212
江苏省,苏州市,工业园区,阿卡迪亚二区,132,3,2,,5,低,暂无数据,2014,440,33210
江苏省,苏州市,工业园区,阿卡迪亚二区,135,4,2,3,5,低,南北,2013,450,33333
江苏省,苏州市,工业园区,阿卡迪亚二区,135,4,2,2,1,低,南北,2013,425,31481
江苏省,苏州市,工业园区,阿卡迪亚二区,137,4,2,2,6,低,南北,2013,455,33212
江苏省,苏州市,工业园区,阿卡迪亚二区,135,4,2,3,5,低,南北,2013,450,33333
江苏省,苏州市,工业园区,阿卡迪亚二区,137,4,2,2,6,低,南北,2013,455,33212
江苏省,苏州市,工业园区,阿卡迪亚二区,135,4,2,3,5,低,南北,2013,450,33333
江苏省,苏州市,工业园区,阿卡迪亚二区,137,4,2,2,6,低,南北,2013,455,33212
江苏省,苏州市,工业园区,阿卡迪亚二区,135,4,2,,5,低,南北,2014,520,38518
江苏省,苏州市,工业园区,阿卡迪亚二区,137,4,2,2,6,低,南北,2013,455,33212
江苏省,苏州市,工业园区,阿卡迪亚二区,135,4,2,2,1,低,南北,2013,425,31481
江苏省,苏州市,工业园区,阿卡迪亚二区,135,4,2,2,1,低,南北,2013,425,31481
江苏省,苏州市,工业园区,阿卡迪亚二区,135,4,2,2,1,低,南北,2013,425,31481
江苏省,苏州市,工业园区,阿卡迪亚二区,137,4,2,2,6,低,南北,2013,455,33212
江苏省,苏州市,工业园区,阿卡迪亚二区,136,4,2,2,1,低,南,2013,450,33088
江苏省,苏州市,工业园区,阿卡迪亚二区,135,4,2,2,1,低,南北,2013,425,31481
江苏省,苏州市,工业园区,阿卡迪亚二区,132,3,2,,5,低,南北,2014,510,38493
江苏省,苏州市,工业园区,阿卡迪亚二区,133,3,2,3,1,低,南,2013,480,36090
江苏省,苏州市,工业园区,阿卡迪亚二区,135,4,2,3,6,高,南,2013,470,34815
江苏省,苏州市,工业园区,阿卡迪亚二区,135,3,2,3,6,高,南北,2013,439,32519
江苏省,苏州市,工业园区,阿卡迪亚二区,135,4,2,3,6,高,南,2013,430,31852
江苏省,苏州市,工业园区,阿卡迪亚二区,136,4,2,2,6,高,南北,2014,410,30147
江苏省,苏州市,工业园区,阿卡迪亚二区,135,3,2,3,6,高,南北,2013,439,32519
江苏省,苏州市,工业园区,阿卡迪亚二区,135,5,2,2,6,中,南北,2013,480,35556
江苏省,苏州市,工业园区,阿卡迪亚二区,160,5,2,2,6,中,南北,2013,500,31250
江苏省,苏州市,工业园区,阿卡迪亚二区,143,4,2,2,6,中,南北,2013,450,31469
江苏省,苏州市,工业园区,阿卡迪亚二区,143,4,2,2,6,中,南北,2013,450,31469
江苏省,苏州市,工业园区,阿卡迪亚二区,143,4,2,2,6,中,南北,2013,450,31469
江苏省,苏州市,工业园区,阿卡迪亚二区,160,5,2,2,6,中,南北,2013,500,31250
江苏省,苏州市,工业园区,阿卡迪亚二区,135,5,2,2,6,中,南北,2013,480,35556
江苏省,苏州市,工业园区,阿卡迪亚二区,143,4,2,2,6,中,南北,2013,450,31469
江苏省,苏州市,工业园区,阿卡迪亚二区,135,5,2,2,6,中,南北,2013,480,35556
江苏省,苏州市,工业园区,阿卡迪亚二区,135,5,2,2,6,中,南北,2013,480,35556
江苏省,苏州市,工业园区,阿卡迪亚二区,160,5,2,2,6,中,南北,2013,500,31250
江苏省,苏州市,工业园区,阿卡迪亚二区,160,5,2,2,6,中,南北,2013,500,31250
江苏省,苏州市,工业园区,阿卡迪亚二区,135,5,2,2,6,中,南北,2013,480,35556
江苏省,苏州市,工业园区,阿卡迪亚二区,160,5,2,2,6,中,南北,2013,500,31250
江苏省,苏州市,工业园区,阿卡迪亚二区,143,4,2,2,6,中,南北,2013,450,31469
江苏省,苏州市,工业园区,阿卡迪亚二区,160,5,2,2,6,中,南北,2013,500,31250
江苏省,苏州市,工业园区,阿卡迪亚二区,143,4,2,2,6,中,南北,2013,450,31469
江苏省,苏州市,工业园区,阿卡迪亚二区,142,4,2,2,6,中,南北,2013,460,32394
江苏省,苏州市,工业园区,阿卡迪亚二区,143,4,2,2,6,中,南北,2013,450,31469
江苏省,苏州市,工业园区,阿卡迪亚二区,135,5,2,2,6,中,南北,2013,480,35556
江苏省,苏州市,工业园区,阿卡迪亚二区,89,2,2,1,11,高,南北,2014,184,20593
江苏省,苏州市,工业园区,阿卡迪亚二区,115,3,2,2,15,低,南北,2013,330,28696
江苏省,苏州市,工业园区,阿卡迪亚二区,117,3,2,2,17,低,南北,2013,300,25641
江苏省,苏州市,工业园区,阿卡迪亚二区,88,3,2,1,18,低,南,2013,235,26705
江苏省,苏州市,工业园区,阿卡迪亚二区,88,3,2,1,18,高,南,2013,235,26705
江苏省,苏州市,工业园区,阿卡迪亚二区,88,3,2,1,18,高,南,2013,235,26705
江苏省,苏州市,工业园区,阿卡迪亚二区,117,3,2,2,17,高,南北,2013,300,25641
江苏省,苏州市,工业园区,阿卡迪亚二区,115,3,2,2,15,高,南北,2013,330,28696
江苏省,苏州市,工业园区,阿卡迪亚二区,118,3,2,2,18,中,南北,2013,330,27966
江苏省,苏州市,工业园区,阿卡迪亚二区,88,3,2,1,18,中,南,2013,213,24205
江苏省,苏州市,工业园区,阿卡迪亚二区,118,3,2,2,18,中,南北,2013,330,27966
江苏省,苏州市,工业园区,阿卡迪亚二区,117,3,2,,17,高,南北,2014,340,29059
江苏省,苏州市,工业园区,阿卡迪亚二区,88,3,2,1,18,高,南,2013,235,26705
江苏省,苏州市,工业园区,阿卡迪亚二区,88,3,2,1,18,高,南,2013,235,26705
江苏省,苏州市,工业园区,阿卡迪亚二区,117,3,2,2,17,高,南北,2013,300,25641
江苏省,苏州市,工业园区,阿卡迪亚二区,117,3,2,2,17,高,南北,2013,300,25641
江苏省,苏州市,工业园区,阿卡迪亚二区,79,2,2,,17,高,南北,2014,200,25050
江苏省,苏州市,工业园区,阿卡迪亚二区,117,3,2,2,17,高,南北,2013,300,25641
江苏省,苏州市,工业园区,阿卡迪亚二区,117,3,2,2,17,高,南北,2013,300,25641
江苏省,苏州市,工业园区,阿卡迪亚二区,118,3,2,2,18,中,南北,2013,330,27966
江苏省,苏州市,工业园区,阿卡迪亚二区,118,3,2,2,18,中,南北,2013,330,27966
江苏省,苏州市,工业园区,阿卡迪亚二区,118,3,2,2,18,中,南北,2013,330,27966
江苏省,苏州市,工业园区,阿卡迪亚二区,118,3,2,2,18,中,南北,2013,330,27966
江苏省,苏州市,工业园区,阿卡迪亚二区,78,2,2,,18,中,暂无数据,2014,193,24743
江苏省,苏州市,工业园区,阿卡迪亚二区,88,3,2,1,18,中,南,2013,213,24205
江苏省,苏州市,工业园区,阿卡迪亚二区,76,2,2,1,18,中,南,2013,181,23816
江苏省,苏州市,工业园区,阿卡迪亚二区,98,3,2,1,18,中,南北,2012,234,23878
江苏省,苏州市,工业园区,阿卡迪亚二区,88,3,2,1,18,中,南,2013,213,24205
江苏省,苏州市,工业园区,阿卡迪亚湖境,133,3,2,,5,低,南北,2014,498,37444
江苏省,苏州市,工业园区,阿卡迪亚湖境,135,3,2,,5,低,南北,2014,458,33926
江苏省,苏州市,工业园区,阿卡迪亚湖境,132,3,2,,5,低,南北,2014,499,37663
江苏省,苏州市,工业园区,阿卡迪亚湖境,133,3,2,,5,低,南北,2014,498,37444
江苏省,苏州市,工业园区,阿卡迪亚湖境,135,3,2,,5,低,南北,2014,458,33926
江苏省,苏州市,工业园区,阿卡迪亚湖境,135,3,2,,5,低,南北,2014,458,33926
江苏省,苏州市,工业园区,阿卡迪亚湖境,133,3,2,,5,低,南北,2014,498,37444
江苏省,苏州市,工业园区,阿卡迪亚湖境,133,3,2,,5,低,南北,2014,498,37444
江苏省,苏州市,工业园区,阿卡迪亚湖境,133,3,2,,5,低,南北,2014,498,37444
江苏省,苏州市,工业园区,阿卡迪亚湖境,132,3,2,,5,低,南北,2014,499,37663
江苏省,苏州市,工业园区,阿卡迪亚湖境,133,3,2,,5,低,南北,2014,498,37444
江苏省,苏州市,工业园区,阿卡迪亚湖境,132,3,2,,5,低,南北,2014,499,37663
江苏省,苏州市,工业园区,阿卡迪亚湖境,133,3,2,,5,低,南北,2014,498,37444
江苏省,苏州市,工业园区,阿卡迪亚湖境,135,3,2,,5,低,南北,2014,458,33926
江苏省,苏州市,工业园区,阿卡迪亚湖境,135,4,2,,5,高,南北,2014,480,35556
江苏省,苏州市,工业园区,阿卡迪亚湖境,135,4,2,,5,高,南北,2014,480,35556
江苏省,苏州市,工业园区,阿卡迪亚湖境,135,4,2,,5,高,南北,2014,480,35556
江苏省,苏州市,工业园区,阿卡迪亚湖境,135,4,2,,5,高,南北,2014,480,35556
江苏省,苏州市,工业园区,阿卡迪亚湖境,135,4,2,,5,高,南北,2014,480,35556
江苏省,苏州市,工业园区,阿卡迪亚湖境,135,4,2,,5,高,南北,2014,480,35556
江苏省,苏州市,工业园区,阿卡迪亚湖境,135,4,2,,5,高,南北,2014,480,35556
江苏省,苏州市,工业园区,阿卡迪亚湖境,115,3,2,,15,高,南北,2014,330,28683
江苏省,苏州市,工业园区,阿卡迪亚湖境,115,3,2,,15,高,南北,2014,330,28683
江苏省,苏州市,工业园区,阿卡迪亚湖境,115,3,2,,15,高,南北,2014,330,28683
江苏省,苏州市,工业园区,阿卡迪亚湖境,79,2,2,,17,高,南北,2014,200,25050
江苏省,苏州市,工业园区,阿卡迪亚湖境,115,3,2,,15,高,南北,2014,330,28683
江苏省,苏州市,工业园区,阿卡迪亚湖境,115,3,2,,15,高,南北,2014,325,28249
江苏省,苏州市,工业园区,阿卡迪亚湖境,115,3,2,,15,高,南北,2014,325,28249
江苏省,苏州市,工业园区,阿卡迪亚湖境,79,2,2,,17,高,南北,2014,200,25050
江苏省,苏州市,工业园区,阿卡迪亚湖境,76,2,2,,18,中,南,2014,188,24466
江苏省,苏州市,工业园区,阿卡迪亚湖境,76,2,2,,18,中,南,2014,188,24466
江苏省,苏州市,工业园区,阿卡迪亚湖境,76,2,2,,18,中,南,2014,195,25377
江苏省,苏州市,工业园区,阿卡迪亚湖境,114,3,2,,17,高,南北,2014,340,29825
江苏省,苏州市,工业园区,阿卡迪亚湖境,76,2,2,,18,中,南,2014,188,24466
江苏省,苏州市,工业园区,阿卡迪亚花境,103,3,2,,5,高,南北,2014,315,30485
江苏省,苏州市,工业园区,阿卡迪亚花境,185,4,2,,5,高,南北,2014,560,30270
江苏省,苏州市,工业园区,阿卡迪亚花境,103,3,2,,5,高,南北,2014,315,30485
江苏省,苏州市,工业园区,阿卡迪亚花境,117,3,2,,6,高,南北,2014,340,29060
江苏省,苏州市,工业园区,阿卡迪亚花境,103,3,2,,5,高,南北,2014,315,30485
江苏省,苏州市,工业园区,阿卡迪亚花境,117,3,2,,6,高,南北,2014,340,29060
江苏省,苏州市,工业园区,阿卡迪亚花境,117,3,2,,6,高,南北,2014,340,29060
江苏省,苏州市,工业园区,阿卡迪亚花境,185,4,2,,5,高,南北,2014,560,30270
江苏省,苏州市,工业园区,阿卡迪亚花境,185,4,2,,5,高,南北,2014,560,30270
江苏省,苏州市,工业园区,阿卡迪亚花境,185,4,2,,5,高,南北,2014,560,30270
江苏省,苏州市,工业园区,阿卡迪亚花境,117,3,2,,6,高,南北,2014,340,29060
江苏省,苏州市,工业园区,阿卡迪亚花境,137,3,2,,7,低,南北,2014,410,29927
江苏省,苏州市,工业园区,阿卡迪亚花境,137,3,2,,7,低,南北,2014,410,29927
江苏省,苏州市,工业园区,阿卡迪亚花境,187,4,2,,7,高,南北,2014,505,27005
江苏省,苏州市,工业园区,阿卡迪亚花境,187,4,2,,7,高,南北,2014,505,27005
江苏省,苏州市,工业园区,阿卡迪亚花境,187,4,2,,7,高,南北,2014,505,27005
江苏省,苏州市,工业园区,阿卡迪亚花境,98,2,1,,11,低,南北,2014,204,20816
江苏省,苏州市,工业园区,阿卡迪亚花境,124,3,2,2,8,中,南北,2013,345,27823
江苏省,苏州市,工业园区,阿卡迪亚花境,98,2,1,,11,低,南北,2014,204,20816
江苏省,苏州市,工业园区,阿卡迪亚花境,89,2,2,,11,低,南北,2014,175,19663
江苏省,苏州市,工业园区,阿卡迪亚花境,96,2,2,,11,低,南北,2014,210,21875
江苏省,苏州市,工业园区,阿卡迪亚花境,96,2,2,,11,低,南北,2014,210,21875
江苏省,苏州市,工业园区,阿卡迪亚花境,96,2,2,,11,低,南北,2014,185,19271
江苏省,苏州市,工业园区,阿卡迪亚花境,89,2,2,,11,低,南北,2014,178,20000
江苏省,苏州市,工业园区,阿卡迪亚花境,96,2,2,,11,低,南北,2014,210,21875
江苏省,苏州市,工业园区,阿卡迪亚花境,96,2,2,,11,低,南北,2014,185,19271
江苏省,苏州市,工业园区,阿卡迪亚花境,89,2,2,,11,高,南北,2014,185,20787
江苏省,苏州市,工业园区,阿卡迪亚花境,89,2,2,,11,高,南北,2014,182,20369
江苏省,苏州市,工业园区,阿卡迪亚花境,89,2,2,,11,高,南北,2014,185,20787
江苏省,苏州市,工业园区,阿卡迪亚花境,89,2,2,,11,中,南北,2014,180,20145
江苏省,苏州市,工业园区,阿卡迪亚三区,357,4,2,4,0,低,,2016,950,26611
江苏省,苏州市,工业园区,阿卡迪亚三区,344,4,2,4,0,低,,2016,900,26163
江苏省,苏州市,工业园区,阿卡迪亚三区,344,4,2,4,0,低,,2016,900,26163
江苏省,苏州市,工业园区,阿卡迪亚三区,357,4,2,4,0,低,,2016,950,26611
江苏省,苏州市,工业园区,阿卡迪亚三区,343,4,2,,0,低,,2015,920,26753
江苏省,苏州市,工业园区,阿卡迪亚三区,357,4,2,4,0,低,,2016,950,26611
江苏省,苏州市,工业园区,阿卡迪亚三区,357,4,2,4,0,低,,2016,950,26611
江苏省,苏州市,工业园区,阿卡迪亚三区,344,4,2,4,0,低,,2016,900,26163
江苏省,苏州市,工业园区,阿卡迪亚三区,344,4,2,3,0,低,,2016,900,26163
江苏省,苏州市,工业园区,阿卡迪亚三区,313,4,2,4,0,低,,2016,950,30351
江苏省,苏州市,工业园区,阿卡迪亚三区,357,4,2,4,0,低,,2016,950,26611
江苏省,苏州市,工业园区,阿卡迪亚三区,344,4,2,3,0,低,,2016,900,26163
江苏省,苏州市,工业园区,阿卡迪亚三区,344,4,2,3,0,低,,2016,900,26163
江苏省,苏州市,工业园区,阿卡迪亚三区,344,4,2,3,0,低,,2016,900,26163
江苏省,苏州市,工业园区,阿卡迪亚三区,344,4,2,3,0,低,,2016,900,26163
江苏省,苏州市,工业园区,阿卡迪亚三区,313,4,2,4,0,低,,2016,950,30351
江苏省,苏州市,工业园区,阿卡迪亚三区,344,4,2,4,0,低,,2016,900,26163
江苏省,苏州市,工业园区,阿卡迪亚三区,344,4,2,3,0,低,,2016,900,26163
江苏省,苏州市,工业园区,阿卡迪亚三区,357,4,2,4,0,低,,2016,950,26611
江苏省,苏州市,工业园区,阿卡迪亚三区,340,5,2,4,1,低,南北,2016,690,20294
江苏省,苏州市,工业园区,阿卡迪亚三区,340,5,2,4,1,低,南北,2016,690,20294
江苏省,苏州市,工业园区,阿卡迪亚三区,340,5,2,4,1,低,南北,2016,690,20294
江苏省,苏州市,工业园区,阿卡迪亚三区,340,5,2,4,1,低,南北,2016,690,20294
江苏省,苏州市,工业园区,阿卡迪亚三区,340,5,2,4,1,低,南北,2016,690,20294
江苏省,苏州市,工业园区,阿卡迪亚三区,340,5,2,4,1,低,南北,2016,690,20294
江苏省,苏州市,工业园区,阿卡迪亚三区,340,5,2,4,1,低,南北,2016,690,20294
江苏省,苏州市,工业园区,阿卡迪亚三区,340,5,2,4,1,低,南北,2016,690,20294
江苏省,苏州市,工业园区,阿卡迪亚三区,340,5,2,4,1,低,南北,2016,690,20294
江苏省,苏州市,工业园区,阿卡迪亚三区,340,5,2,4,1,低,南北,2016,690,20294
江苏省,苏州市,工业园区,阿卡迪亚三区,340,5,2,4,1,低,南北,2016,690,20294
江苏省,苏州市,工业园区,阿卡迪亚三区,340,5,2,4,1,低,南北,2016,690,20294
江苏省,苏州市,工业园区,阿卡迪亚三区,340,5,2,4,1,低,南北,2016,690,20294
江苏省,苏州市,工业园区,阿卡迪亚三区,340,5,2,4,1,低,南北,2016,690,20294
江苏省,苏州市,工业园区,阿卡迪亚四区,163,4,2,5,0,低,,2016,640,39264
江苏省,苏州市,工业园区,阿卡迪亚四区,133,4,2,3,0,低,,2016,620,46617
江苏省,苏州市,工业园区,阿卡迪亚四区,122,4,2,3,0,低,,2014,500,40984
江苏省,苏州市,工业园区,阿卡迪亚四区,163,4,2,5,0,低,,2016,640,39264
江苏省,苏州市,工业园区,阿卡迪亚四区,163,4,2,,0,低,,2014,665,40797
江苏省,苏州市,工业园区,阿卡迪亚四区,133,4,2,3,0,低,,2016,620,46617
江苏省,苏州市,工业园区,阿卡迪亚四区,163,4,2,5,0,低,,2016,640,39264
江苏省,苏州市,工业园区,阿卡迪亚四区,133,4,2,3,0,低,,2016,620,46617
